"Date","Name","Nationality","Cause of death","Mountain"
"1975-03-26","Dorje","Nepal","Avalanche","Dhaulagiri I"
"1975-03-26","Dakiya","Nepal","Avalanche","Dhaulagiri I"
"1969-04-28","David Seidman","United States","Avalanche","Dhaulagiri I"
"1969-04-28","Ross William","United States","Avalanche","Dhaulagiri I"
"1969-04-28","Vincent Hoeman","United States","Avalanche","Dhaulagiri I"
"1969-04-28","Paul Gerhard","United States","Avalanche","Dhaulagiri I"
"1969-04-28","Boyd Everett","United States","Avalanche","Dhaulagiri I"
"1969-04-28","Pemba Phutar","Nepal","Avalanche","Dhaulagiri I"
"1969-04-28","Tenzing","Nepal","Avalanche","Dhaulagiri I"
"1959-04-29","Heinrich Roiss","Austria","Cold/Exhaustion","Dhaulagiri I"
"1956-05-26","Bal Bahadur","Nepal","Avalanche","Dhaulagiri I"
"1954-06-30","Francisco (Paco) Ibanez","Argentina","Exposure","Dhaulagiri I"
"2022-10-02","Dawa Chhiring Sherpa","Nepal","Avalanche","Manaslu"
"2022-09-26","Hilaree Nelson","United States","Fall","Manaslu"
"2022-09-26","Anup Rai","Nepal","Avalanche","Manaslu"
"2021-09-29","Brent Seal","Canada","Stroke","Manaslu"
"2019-09-28","Rita Bladyko","Poland","Altitude sickness","Manaslu"
"2018-09-29","Roman Hlávko","Czech Republic","Probably fall","Manaslu"
"2018-09-08","Hiromi Komatsu","Japan","Rescue helicopter crash","Manaslu"
"2017-09-25","Philip Harvey","United Kingdom","Altitude Sickness","Manaslu"
"2016-10-26","Hirotaka Onodera","Japan","Fall","Manaslu"
"2015-10-01","Zoltan Benedek","Austria","Probably altitude sickness","Manaslu"
"2014-09-26","Yoshimasa Sasaki","Japan","Fall","Manaslu"
"2012-10-04","Victor Correa","Colombia","Unknown (disappeared)","Manaslu"
"2012-09-23","Dominique Ouimet","Canada","Avalanche","Manaslu"
"2012-09-23","Gregory Ugo Costa","France","Avalanche","Manaslu"
"2012-09-23","Alberto Magliano","Italy","Avalanche","Manaslu"
"2012-09-23","Catherine Ricard","France","Avalanche","Manaslu"
"2012-09-23","Christian Mittermeyer","Germany","Avalanche","Manaslu"
"2012-09-23","Dawa Dorji Sherpa","Nepal","Avalanche","Manaslu"
"2012-09-23","Fabrice Priez","France","Avalanche","Manaslu"
"2012-09-23","Ludovic Challeat","France","Avalanche","Manaslu"
"2012-09-23","Marti Roig Gasull","Spain","Avalanche","Manaslu"
"2012-09-23","Phillippe Lucien Bos","France","Avalanche","Manaslu"
"2012-09-23","Rémy Lécluse","France","Avalanche","Manaslu"
"2012-05-11","Jafar Naseri","Iran","Unknown (disappeared)","Manaslu"
"2011-05-12","Tashi Chhiring","Nepal","Unknown (disappeared)","Manaslu"
"2011-05-12","Bernard Jean Francois Milian","France","Unknown (disappeared)","Manaslu"
"2011-05-12","Alain Peirre Marie Laurens","France","Unknown (disappeared)","Manaslu"
"2011-04-29","Eisa Mir-Shekari","Iran","Altitude sickness","Manaslu"
"2010-09-24","Nobuaki Kuwabara","Japan","Illness","Manaslu"
"2010-04-24","Chi-won Yun","South Korea","Unknown (disappeared)","Manaslu"
"2010-04-24","Haeng-su Park","South Korea","Exhaustion","Manaslu"
"2009-10-03","Franc Oderlap","Slovenia","Hit by falling seracs, died in hospital","Manaslu"
"2009-05-19","Levente Szabó","Hungary","Fall","Manaslu"
"2009-04-28","Giuseppe Antonelli","Italy","Illness","Manaslu"
"2008-10-05","Daniel Goulevitch","France","Altitude sickness","Manaslu"
"2008-05-13","Hasta Bahadur Gurung","Nepal","Illness","Manaslu"
"2006-05-28","Susan Erica Fear","Australia","Fall in crevasse","Manaslu"
"2001-10-13","Isao Kuribara","Nepal","Altitude sickness, Exhaustion","Manaslu"
"1998-10-30","Hristo Stantchev","Bulgaria","Fall","Manaslu"
"1998-10-26","Lenin Granados","Colombia","Avalanche","Manaslu"
"1997-10-09","Miroslav Rybansky","Slovakia","Collapsed","Manaslu"
"1997-10-08","Juraj Kardhordo","Slovakia","Unknown (disappeared)","Manaslu"
"1996-10-01","Masatsugu Konishi","Japan","Unknown (disappeared)","Manaslu"
"1995-05-07","Michael Zunk","Germany","Fall","Manaslu"
"1995-05-06","Jörg Starke","Germany","Fall","Manaslu"
"1993-10-22","Sergei Jadrychnikov","Russia","Avalanche","Manaslu"
"1993-10-21","Igor Khmiliar","Russia","Fall","Manaslu"
"1992-10-03","Sven Vermeiren","Belgium","Fall","Manaslu"
"1992-10-02","Sylwia Dmowska","Poland","Fall","Manaslu"
"1991-05-10","Karl Großrubatscher","Italy","Fall","Manaslu"
"1991-05-10","Gottfried Mutschlechner","Italy","Lightning","Manaslu"
"1990-09-07","Murat Galiev","Soviet Union","Fall","Manaslu"
"1990-09-07","Zinur Halitov","Soviet Union","Fall","Manaslu"
"1990-09-07","Grigory Lunjakov","Soviet Union","Fall","Manaslu"
"1990-03-27","Nima Wangchuk Sherpa","Nepal","Avalanche","Manaslu"
"1990-03-27","Charles Schertz","United States","Avalanche","Manaslu"
"1990-03-27","Nancy Jackson","United States","Avalanche","Manaslu"
"1989-05-07","Santiago Suarez","Spain","Fall","Manaslu"
"1987-10-28","Ichigi Kudo","Japan","Fall","Manaslu"
"1986-05-04","Dieter Oberbichler","Austria","Fall","Manaslu"
"1986-05-03","Wilhelm Klaiber","West Germany","Unknown (disappeared)","Manaslu"
"1985-10-25","Nima Norbu Sherpa","Nepal","Avalanche","Manaslu"
"1985-05-04","Thomas Juen","Austria","Avalanche","Manaslu"
"1983-12-11","Stanisław Jaworski","Poland","Fall","Manaslu"
"1983-04-24","Ante Bućan","Yugoslavia","Avalanche","Manaslu"
"1983-04-24","Nejc Zaplotnik","Yugoslavia","Avalanche","Manaslu"
"1982-12-18","Takashi Sakuma","Japan","Cold, Exhaustion","Manaslu"
"1982-05-10","Pere Aymerich","Spain","Avalanche","Manaslu"
"1982-05-10","Enric Font","Spain","Avalanche","Manaslu"
"1979-10-08","Edgardo Jose Porsellana","Argentina","Avalanche","Manaslu"
"1974-05-05","Teiko Suzuki","Japan","Unknown (disappeared)","Manaslu"
"1972-04-26","Andi Schlick","Austria","Unknown (disappeared)","Manaslu"
"1972-04-25","Franz Jäger","Austria","Unknown (disappeared)","Manaslu"
"1972-04-10","Wangel","Nepal","Avalanche","Manaslu"
"1972-04-10","Rinsing Ongyal","Nepal","Avalanche","Manaslu"
"1972-04-10","Phurba Tenzing","Nepal","Avalanche","Manaslu"
"1972-04-10","Pemba Rinji (Nawang Chultim)","Nepal","Avalanche","Manaslu"
"1972-04-10","Pasang Nima","Nepal","Avalanche","Manaslu"
"1972-04-10","Gyalze","Nepal","Avalanche","Manaslu"
"1972-04-10","Ang Tendi (Ang Dawa)","Nepal","Avalanche","Manaslu"
"1972-04-10","Ang Rita","Nepal","Avalanche","Manaslu"
"1972-04-10","Ang Mingma (b)","Nepal","Avalanche","Manaslu"
"1972-04-10","Ang Mingma (a)","Nepal","Avalanche","Manaslu"
"1972-04-10","Kazunari Yasuhisha","Japan","Avalanche","Manaslu"
"1972-04-10","Chang-hee Park","South Korea","Avalanche","Manaslu"
"1972-04-10","Sae-keon Oh","South Korea","Avalanche","Manaslu"
"1972-04-10","Joon-haeng Song","South Korea","Avalanche","Manaslu"
"1972-04-10","Ho-sup Kim","South Korea","Avalanche","Manaslu"
"1971-05-04","Ki-sup Kim","South Korea","Fall","Manaslu"
"2023-07-03","Paweł Kopeć","Poland","Altitude sickness","Nanga Parbat"
"2019-02-24","Daniele Nardi","Italy","Unknown","Nanga Parbat"
"2019-02-24","Tom Ballard","United Kingdom","Unknown","Nanga Parbat"
"2018-01-28","Tomasz Mackiewicz","Poland","Altitude sickness","Nanga Parbat"
"2017-06-24","Alberto Zerain","Spain","Avalanche","Nanga Parbat"
"2017-06-24","Mariano Galvan","Argentina","Avalanche","Nanga Parbat"
"2013-06-22","Igor Svergun","Ukraine","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Badawi Kashaev","Ukraine","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Dmitry Konyaev","Ukraine","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Rao Jianfeng","China","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Yang Chunfeng","China","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Honglu Chen","China (USA/China dual national)","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Sona Sherpa","Nepal","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Ernestas Markšaitis","Lithuania","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Ali Hussain","Pakistan","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Anton Dobes","Slovakia","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-06-22","Peter Sperka","Slovakia","Killed by Taliban at Diamir Base Camp","Nanga Parbat"
"2013-02-06","Joel Wischnewski","France","Avalanche","Nanga Parbat"
"2009-07-11","Mi-young Go","South Korea","Fall","Nanga Parbat"
"2009-07-10","Wolfgang Kölblinger","Austria","Fall","Nanga Parbat"
"2008-07-17","Saman Nemati","Iran","Unknown","Nanga Parbat"
"2008-07-15","Karl Unterkircher","Italy","Fell into crevasse","Nanga Parbat"
"2006-07-28","Naohiro Ozawa","Japan","Unknown","Nanga Parbat"
"2006-07-22","José Antonio Delgado","Venezuela","Exposure","Nanga Parbat"
"2004-07-01","Günter Jung","Germany","Fall","Nanga Parbat"
"1998-07-26","Hideki Ohmiya","Japan","Fall","Nanga Parbat"
"1997-07-30","Joan Colet","Spain","Fell during descent","Nanga Parbat"
"1996-06-20","Răzvan Petcu","Romania","Avalanche","Nanga Parbat"
"1996-06-20","Gabriel Stana","Romania","Avalanche","Nanga Parbat"
"1994-06-24","Antonio Lopez","Spain","Fall","Nanga Parbat"
"1993-07-07","Chun-moon Ahn","South Korea","Unknown","Nanga Parbat"
"1990-08-18","Osami Nakajima","Japan","Fall","Nanga Parbat"
"1990-07-03","Chang-gi Park","South Korea","Fall into a crevasse","Nanga Parbat"
"1989-07-18","Tetsuya Baba","Japan","Lightning strike","Nanga Parbat"
"1989-06-23","Kwang-ho Kim","South Korea","Fall","Nanga Parbat"
"1985-07-10","Piotr Kalmus","Poland","Avalanche","Nanga Parbat"
"1984-12-08","Hiromi Kameda","Japan","Fall","Nanga Parbat"
"1984-07-07","Fuji Tsunoda","Japan","Avalanche","Nanga Parbat"
"1984-07-07","Shigeoh Hida","Japan","Avalanche","Nanga Parbat"
"1984-07-07","Nobuyuki Imakyurei","Japan","Avalanche","Nanga Parbat"
"1984-07-07","Takashi Kogure","Japan","Avalanche","Nanga Parbat"
"1983-07-12","Nobuyoshi Yamada","Japan","Avalanche","Nanga Parbat"
"1983-07-12","Yuichiro Takamori","Japan","Avalanche","Nanga Parbat"
"1983-07-12","Satoshi Iida","Japan","Avalanche","Nanga Parbat"
"1983-06-17","Kazuo Shimura","Japan","Fall","Nanga Parbat"
"1982-06-08","Peter Hiltbrand","Switzerland","Altitude sickness","Nanga Parbat"
"1982-06-12","Ali Sheikh","Pakistan","Fall","Nanga Parbat"
"1982-06-04","Peter Forrer","Switzerland","Avalanche","Nanga Parbat"
"1982-04-28","Matloob Hassan Nuri","Pakistan","Fall into crevasse","Nanga Parbat"
"1977-07-31","Robert Broughton","United States","Avalanche","Nanga Parbat"
"1977-07-31","George Bogel","United States","Avalanche","Nanga Parbat"
"1976-09-26","Sebastian (Wastl) Arnold","Austria","Fall","Nanga Parbat"
"1971-07-08","Näbi Mantas Hunza","Pakistan","Fall","Nanga Parbat"
"1970-06-29","Günther Messner","Italy","Avalanche","Nanga Parbat"
"1962-06-23","Siegfried (Sigi) Löw","West Germany","Fall","Nanga Parbat"
"1950-12-04","John W. Thornley","United Kingdom","Unknown","Nanga Parbat"
"1950-12-04","William H. Crace","United Kingdom","Unknown","Nanga Parbat"
"1937-06-15","Karl Wien","Nazi Germany","Avalanche","Nanga Parbat"
"1937-06-15","Martin Pfeffer","Nazi Germany","Avalanche","Nanga Parbat"
"1937-06-15","Peter Müllritter","Nazi Germany","Avalanche","Nanga Parbat"
"1937-06-15","Günther Hepp","Nazi Germany","Avalanche","Nanga Parbat"
"1937-06-15","Hans Hartmann","Nazi Germany","Avalanche","Nanga Parbat"
"1937-06-15","Adolf Göttner","Nazi Germany","Avalanche","Nanga Parbat"
"1937-06-15","Pert Fankhauser","Austria","Avalanche","Nanga Parbat"
"1937-06-15","Tigmay","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Pasang Norbu","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Nima Tsering I","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Nima Tsering II","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Mingma Tsering","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Karmi","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Gyalgen Monjo","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Chong Karma","British Raj","Avalanche","Nanga Parbat"
"1937-06-15","Ang Tshering II","British Raj","Avalanche","Nanga Parbat"
"1934-07-17","Willy Merkl","Nazi Germany","Unknown","Nanga Parbat"
"1934-07-17","Sherpa Gyali","British Raj","Unknown","Nanga Parbat"
"1934-07-12","Wilhelm Welzenbach","Nazi Germany","Exposure","Nanga Parbat"
"1934-07-10","Sherpa Dakshi","British Raj","Unknown","Nanga Parbat"
"1934-07-10","Dorje Nima","British Raj","Exposure","Nanga Parbat"
"1934-07-10","Nima Tashi","British Raj","Exposure","Nanga Parbat"
"1934-07-10","Pinju Norbu","British Raj","Exposure","Nanga Parbat"
"1934-07-09","Nima Nurbu","British Raj","Unknown","Nanga Parbat"
"1934-07-09","Ulrich Wieland","Nazi Germany","Unknown","Nanga Parbat"
"1934-06-08","Alfred Drexel","Nazi Germany","Pneumonia","Nanga Parbat"
"1895-08-24","Albert F. Mummery","United Kingdom","Avalanche","Nanga Parbat"
"1895-08-24","Ragobir Thapa Ghurka","Nepal","Avalanche","Nanga Parbat"
"1895-08-24","Goman Singh Ghurka","Nepal","Avalanche","Nanga Parbat"
"2023-04-18","Noel Hanna","United Kingdom","Exposure","Annapurna I"
"2019-05-03","Wui Kin Chin","Malaysia","Hypothermia/Frostbite","Annapurna I"
"2015-03-24","Samuli Mansikka","Finland","Fall","Annapurna I"
"2015-03-24","Pemba Sherpa","Nepal","Fall","Annapurna I"
"2012-10-07","Ivan Lobanov","Uzbekistan","Avalanche","Annapurna I"
"2012-10-07","Iljas Tukhvatullin","Uzbekistan","Avalanche","Annapurna I"
"2012-05-05","Tibor Horváth","Hungary","Avalanche","Annapurna I"
"2011-10-18","Young-seok Park","South Korea","Unknown","Annapurna I"
"2011-10-18","Dong-min Shin","South Korea","Unknown","Annapurna I"
"2011-10-18","Ki-seok Kang","South Korea","Unknown","Annapurna I"
"2010-04-29","Tolo Calafat","Spain","Unknown","Annapurna I"
"2009-04-01","Martin Minařík","Czech Republic","Fell into Crevasse","Annapurna I"
"2008-05-23","Iñaki Ochoa de Olza","Spain","HACE","Annapurna I"
"2007-04-22","Udhav Prasad Khanal","Nepal","Unknown","Annapurna I"
"2006-10-22","Lhakpa Rita II","Nepal","Avalanche","Annapurna I"
"2005-05-18","Christian Kuntner","Italy","Avalanche","Annapurna I"
"2004-10-10","Hideji Nazuka","Japan","Avalanche","Annapurna I"
"2004-10-10","Michio Sato","Japan","Avalanche","Annapurna I"
"1999-04-29","Hyun-ok Ji","South Korea","Unknown","Annapurna I"
"1999-04-29","Dorje Kami","Nepal","Unknown","Annapurna I"
"1998-04-26","Ang Tshering","Nepal","Avalanche","Annapurna I"
"1997-12-25","Anatoli Boukreev","Kazakhstan","Avalanche","Annapurna I"
"1997-12-25","Dmitri Sobolev","Kazakhstan","Avalanche","Annapurna I"
"1997-03-23","Ngati","Nepal","Fall","Annapurna I"
"1992-10-11","Pierre Béghin","France","Fall","Annapurna I"
"1991-10-20","Gabriel Denamur","Belgium","Unknown","Annapurna I"
"1991-09-19","Seog-jee Lee","South Korea","Avalanche","Annapurna I"
"1991-09-19","Song-gu Lee","South Korea","Avalanche","Annapurna I"
"1991-09-19","Sange Dawa","Nepal","Avalanche","Annapurna I"
"1991-09-19","Tendi Lhakpa","Nepal","Avalanche","Annapurna I"
"1991-09-19","Jangbu Nurbu","Nepal","Avalanche","Annapurna I"
"1991-09-19","Tenzing","Nepal","Avalanche","Annapurna I"
"1989-10-28","Milan Metkov","Bulgaria","Unknown","Annapurna I"
"1989-10-28","Ognian Stoykov","Bulgaria","Unknown","Annapurna I"
"1988-10-18","Ramiro Navarrete","Ecuador","Fall","Annapurna I"
"1988-10-01","Jiri Pelikan","Czechoslovakia","Fall on descent","Annapurna I"
"1988-09-29","Akihiro Mori","Japan","Avalanche","Annapurna I"
"1988-09-29","Ang Dawa","Japan","Avalanche","Annapurna I"
"1987-12-20","Toshiyuki Kobayashi","Japan","Fall","Annapurna I"
"1987-12-20","Yasuhira Saito","Japan","Fall","Annapurna I"
"1987-05-24","Andres Ferrer","Spain","Fall","Annapurna I"
"1986-09-23","Benoit Grison","France","Fall","Annapurna I"
"1984-12-07","Pasang Norbu","Nepal","Unknown","Annapurna I"
"1984-12-07","Keepa","Nepal","Unknown","Annapurna I"
"1984-04-21","Philippe Dumas","France","Avalanche","Annapurna I"
"1984-04-21","Patrick Taglianut","France","Avalanche","Annapurna I"
"1983-09-24","Yang-kun Chung","South Korea","Avalanche","Annapurna I"
"1983-09-24","Magar Maila","Nepal","Avalanche","Annapurna I"
"1983-09-24","Rama Magar Tika","Nepal","Avalanche","Annapurna I"
"1982-10-18","Susumu Akimatsu","Japan","Avalanche","Annapurna I"
"1982-10-18","Miko Ono","Japan","Avalanche","Annapurna I"
"1982-10-17","Alex MacIntyre","United Kingdom","Rock fall","Annapurna I"
"1982-05-12","Rai Shanti","Nepal","Fall","Annapurna I"
"1982-05-04","Werner Bürkli","Switzerland","Heart attack","Annapurna I"
"1981-10-31","Yasuji Kato","Japan","Fall","Annapurna I"
"1981-09-28","Andre Durieux","France","Avalanche","Annapurna I"
"1981-09-28","Yves Favre","France","Avalanche","Annapurna I"
"1981-09-27","Ang Nima","Nepal","Avalanche","Annapurna I"
"1981-09-27","Pemba Tshering","Nepal","Avalanche","Annapurna I"
"1979-09-19","Eric Roberts","United Kingdom","Avalanche","Annapurna I"
"1979-09-19","Maynard Cohick","United States","Avalanche","Annapurna I"
"1979-09-19","Gil Harder","United States","Avalanche","Annapurna I"
"1979-05-01","Yves Morin","France","Exhaustion","Annapurna I"
"1978-10-17","Alison Chadwick-Onyszkiewicz","United Kingdom","Fall","Annapurna I"
"1978-10-17","Vera Watson","United States","Fall","Annapurna I"
"1975-04-16","Franz Tegischer","Austria","Avalanche","Annapurna I"
"1973-09-26","Leo Cerruti","Italy","Avalanche","Annapurna I"
"1973-09-26","Miller Rava","Italy","Avalanche","Annapurna I"
"1973-05-18","Tadashi Ushigoe","Japan","Avalanche","Annapurna I"
"1973-05-18","Sadatoshi Takahashi","Japan","Avalanche","Annapurna I"
"1973-05-18","Masanori Hama","Japan","Avalanche","Annapurna I"
"1973-05-18","Kazumi Katagiri","Japan","Avalanche","Annapurna I"
"1973-05-18","Rinje","Nepal","Avalanche","Annapurna I"
"1970-05-30","Ian Clough","United Kingdom","Serac fall","Annapurna I"
"2013-08-09","Zdenek Hruby","Czech Republic","Fall","Gasherbrum I"
"2013-07-22","Xevi Gómez","Spain","Disappeared","Gasherbrum I"
"2013-07-22","Álvaro Paredes","Spain","Disappeared","Gasherbrum I"
"2013-07-22","Abel Alonso","Spain","Disappeared","Gasherbrum I"
"2013-07-07","Artur Hajzer","Poland","Fall","Gasherbrum I"
"2012-03-09","Gerfried Göschl","Austria","Disappeared","Gasherbrum I"
"2012-03-09","Cedric Hählen","Switzerland","Disappeared","Gasherbrum I"
"2012-03-09","Nissar Hussain","Pakistan","Disappeared","Gasherbrum I"
"2008-06-18","Jean-Noel Urban","France","Fall into crevasse","Gasherbrum I"
"2007-07-29","Jiri Danek","Czech Republic","Fall","Gasherbrum I"
"2005-08-05","Dawa Nurbu II","Nepal","Fall","Gasherbrum I"
"2004-07-25","Jose Antonio Anton","Spain","Fall","Gasherbrum I"
"2003-09-07","Mohammad Oraz","Iran","Avalanche caused injuries, died in hospital","Gasherbrum I"
"2003-07-15","Vladimir Pestrikov","Ukraine","Stone fall","Gasherbrum I"
"2003-07-05","Jose Manuel Buenaga","Spain","Disappeared","Gasherbrum I"
"2003-07-05","Nancy Silvestrini [es]","Argentina","Disappeared","Gasherbrum I"
"2001-07-09","Claudio Gálvez Santibañez","Chile","Fall, after successfully summiting","Gasherbrum I"
"1998-08-01","Yoshiumi Hayoshida","Japan","Avalanche","Gasherbrum I"
"1998-08-01","Kasunori Kutama","Japan","Avalanche","Gasherbrum I"
"1998-08-01","Kasutoshi Naito","Japan","Avalanche","Gasherbrum I"
"1998-08-01","Takashi Watanabe","Japan","Avalanche","Gasherbrum I"
"1996-07-17","Manuel Alvarez","Spain","Fall (between Camp III and Camp II)","Gasherbrum I"
"1993-05-30","Paolo Bernascone","Italy","Slab avalanche (below Camp I)","Gasherbrum I"
"1990-08-19","Josep Granyo","Spain","Disappeared","Gasherbrum I"
"1990-08-19","Albert Ibanez","Spain","Disappeared","Gasherbrum I"
"1989-07-12","Dorje Tsindi","Nepal","Fall","Gasherbrum I"
"1988-06-25","Jorge Luis Brito","Mexico","Pulmonary edema","Gasherbrum I"
"1987-07-29","Mohsin Ali","Pakistan","Avalanche","Gasherbrum I"
"1987-07-29","Fakhar-ul-Islam","Pakistan","Avalanche","Gasherbrum I"
"1987-07-29","Fayyaz Hussain","Pakistan","Avalanche","Gasherbrum I"
"1987-07-29","Khalid Khan","Pakistan","Avalanche","Gasherbrum I"
"1986-08-18","Andreas Bührer","Switzerland","Fall","Gasherbrum I"
"1986-05-31","Muhammad Ali Ghulam","Pakistan","Pneumonia","Gasherbrum I"
"1977-06-10","Drago Bregar","Yugoslavia","Disappeared","Gasherbrum I"
"2022-07-19","Gordon Henderson","United Kingdom","Fall","Broad Peak"
"2022-07-05","Sharif Sadpara","Pakistan","Fall","Broad Peak"
"2021-07-19","Kim Hong-bin","South Korea","Fall","Broad Peak"
"2015-07-01","Qamber Ali Jangjupa","Pakistan","Avalanche","Broad Peak"
"2013-07-23","Aidin Bozorgi","Iran","Disappeared","Broad Peak"
"2013-07-23","Mojtaba Jarrahi [fa]","Iran","Disappeared","Broad Peak"
"2013-07-23","Pouya Keivan [fa]","Iran","Disappeared","Broad Peak"
"2013-07-08","Dana Heide","Germany","Slipped into a glacial stream near base camp","Broad Peak"
"2013-03-06","Maciej Berbeka","Poland","Disappeared","Broad Peak"
"2013-03-06","Tomasz Kowalski","Poland","Presumably exhaustion","Broad Peak"
"2012-07-31","Muhammad Baqir","Pakistan","Fall","Broad Peak"
"2012-07-31","Zuzana Hofmannová","Czech Republic","Disappeared","Broad Peak"
"2011-07-25","Jeffrey Wai Hung Chung","Hong Kong","Fall in crevasse","Broad Peak"
"2009-07-18","Cristina Castagna","Italy","Fall","Broad Peak"
"2008-06-30","Vlado Plulik","Slovakia","Disappeared","Broad Peak"
"2006-07-08","Markus Kronthaler","Austria","Exhaustion","Broad Peak"
"1999-07-11","Seung-Kwon Hur","South Korea","Disappeared","Broad Peak"
"1998-07-29","Pascale Bessieres","France","Disappeared","Broad Peak"
"1998-07-29","Eric Escoffier","France","Disappeared","Broad Peak"
"1997-07-16","Jeffrey Ian Bubb","United States","Avalanche","Broad Peak"
"1997-07-16","Fukuzo Yokotagawa","Japan","Avalanche","Broad Peak"
"1996-07-20","Dong-keun Han","South Korea","Died on descent due to bad weather","Broad Peak"
"1996-07-20","Jae-mo Yang","South Korea","Died on descent due to bad weather","Broad Peak"
"1996-07-20","Sun-taek Lim","South Korea","Died on descent due to bad weather","Broad Peak"
"1995-07-12","Hyun-jae Park","South Korea","Fall","Broad Peak"
"1994-06-22","Alexej Himer","Czech Republic","Fall","Broad Peak"
"1994-06-11","Bohuslav Bilek","Czech Republic","Pulmonary edema","Broad Peak"
"1990-07-24","Kurt Lyncke-Krüger","West Germany","Fall","Broad Peak"
"1988-08-20","Yong-il Jang","South Korea","Avalanche","Broad Peak"
"1986-08-22","Liam Scott Elliott","United Kingdom","Fell","Broad Peak"
"1985-08-18","Barbara Kozłowska","Poland","Drowned in a glacier stream above BC","Broad Peak"
"1985-05-16","Hans Frick","Canada","Avalanche","Broad Peak"
"1983-06-29","Peter Thexton","United Kingdom","Pulmonary edema","Broad Peak"
"1981-08-05","Enric Pujol","Spain","Fall","Broad Peak"
"1975-07-29","Andrzej Sikorski","Poland","Fall","Broad Peak"
"1975-07-29","Marek Kęsicki","Poland","Fall","Broad Peak"
"1975-07-28","Bohdan Nowaczyk","Poland","Fall","Broad Peak"
"2022-07-05","Iram Karim","Pakistan","Slipped into a glacial stream near base camp","Gasherbrum II"
"2015-07-25","Aleksander Ostrowski","Poland","Avalanche","Gasherbrum II"
"2011-07-22","Leila Esfandyari","Iran","Fall on descent","Gasherbrum II"
"2009-07-21","Luis María Barbero","Spain","Disappeared","Gasherbrum II"
"2007-07-18","Ernst-Robert Zauner","Germany","Avalanche","Gasherbrum II"
"2007-07-18","Arne Heckele","Germany","Avalanche","Gasherbrum II"
"2007-07-03","Ulrike Gschwandtner [de]","Austria","Possibly Heart Failure","Gasherbrum II"
"2001-07-20","Jean-François Bassine","Belgium","Fall","Gasherbrum II"
"2000-07-28","Felix Iñurrategui","Spain","Fall","Gasherbrum II"
"1989-07-13","Antton Ibarguren","Spain","Fall","Gasherbrum II"
"1988-07-09","Gary Silver","United States","Illness","Gasherbrum II"
"1988-07-06","Michel Basson","France","Pulmonary Edema","Gasherbrum II"
"1988-06-25","Henri Albet","France","Fall on snowboard","Gasherbrum II"
"1987-06-29","Jean-Pierre Hefti","Switzerland","Fall","Gasherbrum II"
"1986-07-12","Carlos Rabago","Spain","Illness","Gasherbrum II"
"1985-07-11","Pierre Bouygues","France","Illness","Gasherbrum II"
"1985-06-24","Toru Nakano","Japan","Fall","Gasherbrum II"
"1982-07-01","Norbert Wolf","Austria","Cold","Gasherbrum II"
"1982-07-01","Gerhard Gruner","West Germany","Disappeared","Gasherbrum II"
"1982-07-02","Glenn Brindeiro","United States","Avalanche","Gasherbrum II"
"1976-06-01","Osamu Matsuura","Japan","Exhaustion","Gasherbrum II"
"1976-05-27","Yoshinori Hiramatsu","Japan","Fall","Gasherbrum II"
"1976-05-27","Taketoshi Miyamoto","Japan","Fall","Gasherbrum II"
"1975-06-01","Bernard Villaret","France","Cold, exhaustion","Gasherbrum II"
"2018-05-03","Boyan Petrov","Bulgaria","Disappearance","Shishapangma"
"2016-09-30","Pemba Sherpa (Taplejung 8)","Nepal","Avalanche","Shishapangma"
"2016-04-24","Patrik Matiolli","Switzerland","Fall in crevasse","Shishapangma"
"2016-04-24","Jon Johnston","Australia","Fall in crevasse","Shishapangma"
"2014-09-24","Sebastian Haag","Germany","Avalanche","Shishapangma"
"2014-09-24","Andrea Zambaldi","Italy","Avalanche","Shishapangma"
"2013-05-11","Unknown","Germany","HAPE","Shishapangma"
"2009-10-15","Roby Piantoni","Italy","Fall","Shishapangma"
"2007-04-24","Marek Hudák","Slovakia","Disappearance","Shishapangma"
"2006-10-31","Bruno Carvalho","Portugal","Fall","Shishapangma"
"2005-10-03","Stanislav Krylov","Russia","Disappearance","Shishapangma"
"2005-09-28","Martin Oczko","Czech Republic","Altitude sickness","Shishapangma"
"1999-10-05","Alex Lowe","United States","Avalanche","Shishapangma"
